freq,unit,deg_urb,rskpovth,geo,time,value
Annual,Percentage,Cities,Below 60%,Belgium,2015,32.1
Annual,Percentage,Cities,Below 60%,Belgium,2016,33.6
Annual,Percentage,Cities,Below 60%,Belgium,2017,30.5
Annual,Percentage,Cities,Below 60%,Belgium,2018,32.6
Annual,Percentage,Cities,Below 60%,Belgium,2019,23.5
Annual,Percentage,Cities,Below 60%,Belgium,2020,22.7
Annual,Percentage,Cities,Below 60%,Belgium,2023,24.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2003,
Annual,Percentage,Cities,Below 60%,Bulgaria,2004,
Annual,Percentage,Cities,Below 60%,Bulgaria,2005,36.5
Annual,Percentage,Cities,Below 60%,Bulgaria,2006,36.5
Annual,Percentage,Cities,Below 60%,Bulgaria,2007,36.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2008,34.3
Annual,Percentage,Cities,Below 60%,Bulgaria,2009,32.3
Annual,Percentage,Cities,Below 60%,Bulgaria,2010,33.3
Annual,Percentage,Cities,Below 60%,Bulgaria,2011,33.1
Annual,Percentage,Cities,Below 60%,Bulgaria,2012,29.3
Annual,Percentage,Cities,Below 60%,Bulgaria,2013,27.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2014,26.4
Annual,Percentage,Cities,Below 60%,Bulgaria,2015,23.9
Annual,Percentage,Cities,Below 60%,Bulgaria,2016,21.2
Annual,Percentage,Cities,Below 60%,Bulgaria,2017,22.4
Annual,Percentage,Cities,Below 60%,Bulgaria,2018,17.5
Annual,Percentage,Cities,Below 60%,Bulgaria,2019,17.8
Annual,Percentage,Cities,Below 60%,Bulgaria,2020,16.4
Annual,Percentage,Cities,Below 60%,Bulgaria,2023,19.6
Annual,Percentage,Cities,Below 60%,Czechia,2003,
Annual,Percentage,Cities,Below 60%,Czechia,2004,
Annual,Percentage,Cities,Below 60%,Czechia,2005,30.4
Annual,Percentage,Cities,Below 60%,Czechia,2006,31.7
Annual,Percentage,Cities,Below 60%,Czechia,2007,29.9
Annual,Percentage,Cities,Below 60%,Czechia,2008,23.2
Annual,Percentage,Cities,Below 60%,Czechia,2009,32.0
Annual,Percentage,Cities,Below 60%,Czechia,2010,27.9
Annual,Percentage,Cities,Below 60%,Czechia,2011,21.9
Annual,Percentage,Cities,Below 60%,Czechia,2012,25.1
Annual,Percentage,Cities,Below 60%,Czechia,2013,25.0
Annual,Percentage,Cities,Below 60%,Czechia,2014,25.2
Annual,Percentage,Cities,Below 60%,Czechia,2015,32.9
Annual,Percentage,Cities,Below 60%,Czechia,2016,28.6
Annual,Percentage,Cities,Below 60%,Czechia,2017,30.9
Annual,Percentage,Cities,Below 60%,Czechia,2018,22.6
Annual,Percentage,Cities,Below 60%,Czechia,2019,26.7
Annual,Percentage,Cities,Below 60%,Czechia,2020,23.8
Annual,Percentage,Cities,Below 60%,Czechia,2023,21.5
Annual,Percentage,Cities,Below 60%,Denmark,2003,32.5
Annual,Percentage,Cities,Below 60%,Denmark,2004,37.1
Annual,Percentage,Cities,Below 60%,Denmark,2005,33.0
Annual,Percentage,Cities,Below 60%,Denmark,2006,37.9
Annual,Percentage,Cities,Below 60%,Denmark,2007,35.6
Annual,Percentage,Cities,Below 60%,Denmark,2008,35.6
Annual,Percentage,Cities,Below 60%,Denmark,2009,36.2
Annual,Percentage,Cities,Below 60%,Denmark,2010,29.2
Annual,Percentage,Cities,Below 60%,Denmark,2011,34.2
Annual,Percentage,Cities,Below 60%,Denmark,2012,39.7
Annual,Percentage,Cities,Below 60%,Denmark,2013,33.7
Annual,Percentage,Cities,Below 60%,Denmark,2014,38.6
Annual,Percentage,Cities,Below 60%,Denmark,2015,42.6
Annual,Percentage,Cities,Below 60%,Denmark,2016,37.0
Annual,Percentage,Cities,Below 60%,Denmark,2017,42.4
Annual,Percentage,Cities,Below 60%,Denmark,2018,38.3
Annual,Percentage,Cities,Below 60%,Denmark,2019,38.3
Annual,Percentage,Cities,Below 60%,Denmark,2020,33.0
Annual,Percentage,Cities,Below 60%,Denmark,2023,29.1
