freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,1996,29220.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,1997,29750.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,1998,30400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,1999,31050.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2000,31930.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2001,32430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2002,32330.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2003,32170.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2004,32580.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2005,32920.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2006,34260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2007,35330.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2008,35750.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2009,33880.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2010,35370.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2011,36700.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2012,36820.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,2013,36910.0
