currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Barley,Finland,2024,20.87,7.104918032786886,804.2,24.68,31.92
Euro,Feed barley,Finland,2017,12.93,5.966027397260274,922.2,12.36,13.61
Euro,Feed barley,Finland,2018,17.09,6.64958904109589,580.9,12.93,12.36
Euro,Feed barley,Finland,2019,15.54,6.725205479452054,831.7,17.09,12.93
Euro,Feed barley,Finland,2020,13.93,8.045081967213115,948.8,15.54,17.09
Euro,Feed barley,Finland,2021,18.93,6.053424657534246,777.2,13.93,15.54
Euro,Feed barley,Finland,2022,30.74,6.537534246575342,736.8,18.93,13.93
Euro,Feed barley,Finland,2023,22.49,6.398082191780823,856.9,30.74,18.93
Euro,Feed barley,Finland,2024,18.65,7.104918032786886,804.2,22.49,30.74
Euro,Rye,Finland,2017,16.2,5.966027397260274,922.2,16.89,18.87
Euro,Rye,Finland,2018,17.71,6.64958904109589,580.9,16.2,16.89
Euro,Rye,Finland,2019,16.66,6.725205479452054,831.7,17.71,16.2
Euro,Rye,Finland,2020,15.65,8.045081967213115,948.8,16.66,17.71
Euro,Rye,Finland,2021,16.63,6.053424657534246,777.2,15.65,16.66
Euro,Rye,Finland,2022,29.32,6.537534246575342,736.8,16.63,15.65
Euro,Rye,Finland,2023,29.3,6.398082191780823,856.9,29.32,16.63
Euro,Rye,Finland,2024,23.37,7.104918032786886,804.2,29.3,29.32
Euro,Soft wheat,Finland,2017,15.91,5.966027397260274,922.2,15.14,16.89
Euro,Soft wheat,Finland,2018,19.98,6.64958904109589,580.9,15.91,15.14
Euro,Soft wheat,Finland,2019,18.4,6.725205479452054,831.7,19.98,15.91
Euro,Soft wheat,Finland,2020,17.05,8.045081967213115,948.8,18.4,19.98
Euro,Soft wheat,Finland,2021,21.55,6.053424657534246,777.2,17.05,18.4
Euro,Soft wheat,Finland,2022,33.62,6.537534246575342,736.8,21.55,17.05
Euro,Soft wheat,Finland,2023,26.2,6.398082191780823,856.9,33.62,21.55
Euro,Soft wheat,Finland,2024,22.8,7.104918032786886,804.2,26.2,33.62
Euro,Barley,Germany,2018,16.55,11.186849315068493,412.5,13.61,12.6
Euro,Barley,Germany,2019,15.69,11.452054794520548,532.0,16.55,13.61
Euro,Barley,Germany,2020,15.03,11.2724043715847,538.7,15.69,16.55
Euro,Barley,Germany,2021,19.84,9.788767123287672,661.1,15.03,15.69
Euro,Barley,Germany,2022,28.58,10.990958904109588,489.0,19.84,15.03
Euro,Barley,Germany,2023,18.97,11.14,830.9,28.58,19.84
Euro,Barley,Germany,2024,20.38,11.74672131147541,647.3,18.97,28.58
Euro,Durum wheat,Germany,2020,22.0,11.2724043715847,538.7,21.5,21.0
Euro,Durum wheat,Germany,2021,21.4,9.788767123287672,661.1,22.0,21.5
Euro,Durum wheat,Germany,2022,39.1,10.990958904109588,489.0,21.4,22.0
Euro,Durum wheat,Germany,2023,46.1,11.14,830.9,39.1,21.4
Euro,Durum wheat,Germany,2024,45.7,11.74672131147541,647.3,46.1,39.1
Euro,Feed barley,Germany,2017,13.61,9.966575342465754,836.0,12.6,14.53
Euro,Feed barley,Germany,2018,16.55,11.186849315068493,412.5,13.61,12.6
