name,domains,web_pages,country,alpha_two_code,state-province
University of Joensuu,['joensuu.fi'],['http://www.joensuu.fi/'],Finland,FI,
University of Jyväskylä,['jyu.fi'],['http://www.jyu.fi/'],Finland,FI,
Academy of Fine Arts,['kuva.fi'],['http://www.kuva.fi/'],Finland,FI,
Lahti Polytechnic,"['lamk.fi', 'student.lamk.fi']",['http://www.lamk.fi/'],Finland,FI,
Laurea University of Applied Sciences,"['laurea.fi', 'student.laurea.fi']",['http://www.laurea.fi/'],Finland,FI,
Lappeenranta University of Technology,"['lut.fi', 'student.lut.fi']",['http://www.lut.fi/'],Finland,FI,
Oulu Polytechnic,['oamk.fi'],['http://www.oamk.fi/'],Finland,FI,
University of Oulu,['oulu.fi'],['http://www.oulu.fi/'],Finland,FI,
Vaasa University of Applied Sciences,['puv.fi'],['http://www.puv.fi/'],Finland,FI,
Rovaniemi University of Applied Sciences,['ramk.fi'],['http://www.ramk.fi/'],Finland,FI,
Scandinavian Art and Business Institute,['sabi.eu.com'],['http://www.sabi.eu.com/'],Finland,FI,
Satakunta University Of Applied Scinces,['samk.fi'],['http://www.samk.fi/'],Finland,FI,
South Carelian Polytechnic,['scp.fi'],['http://www.scp.fi/'],Finland,FI,
"Swedish School of Economics and Business Administration, Finland",['shh.fi'],['http://www.shh.fi/'],Finland,FI,
Sibelius Academy,['siba.fi'],['http://www.siba.fi/'],Finland,FI,
Theatre Academy Finland,['teak.fi'],['http://www.teak.fi/'],Finland,FI,
Tampere Polytechnic,['tpu.fi'],['http://www.tpu.fi/'],Finland,FI,
Turku School of Economics and Business Administration,['tukkk.fi'],['http://www.tukkk.fi/'],Finland,FI,
Tampere University of Technology,['tut.fi'],['http://www.tut.fi/'],Finland,FI,
University of Art and Design Helsinki,['uiah.fi'],['http://www.uiah.fi/'],Finland,FI,
University of Kuopio,['uku.fi'],['http://www.uku.fi/'],Finland,FI,
University of Lapland,['ulapland.fi'],['http://www.ulapland.fi/'],Finland,FI,
University of Tampere,['uta.fi'],['http://www.uta.fi/'],Finland,FI,
University of Turku,['utu.fi'],['http://www.utu.fi/'],Finland,FI,
University of Vaasa,['uwasa.fi'],['http://www.uwasa.fi/'],Finland,FI,
Aalto University,['aalto.fi'],['https://www.aalto.fi/'],Finland,FI,
Metropolia University of Applied Sciences,['metropolia.fi'],['https://www.metropolia.fi/'],Finland,FI,
42 FR,['student.42.fr'],['http://www.42.fr/'],France,FR,
Ecole de l'Air,['aea.asso.fr'],['http://www.aea.asso.fr/'],France,FR,
AgroParisTech,['agroparistech.fr'],['http://www.agroparistech.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie de Rennes,['agro.roazhon.inra.fr'],['http://agro.roazhon.inra.fr/'],France,FR,
AgroSup Dijon,['agrosupdijon.fr'],['http://www.agrosupdijon.fr/'],France,FR,
American Graduate School in Paris,['ags.edu'],['http://www.ags.edu/'],France,FR,
American University of Paris,['aup.fr'],['http://www.aup.fr/'],France,FR,
Ecole Supérieure de Commerce de Sophia Antipolis,['ceram.edu'],['http://www.ceram.edu/'],France,FR,
Centre d'Etudes Supérieures Industrielles Paris,['cesi.fr'],['http://www.cesi.fr/'],France,FR,
Centre de Formation et de Perfectionnement des Journalistes,['cfpj.com'],['http://www.cfpj.com/'],France,FR,
Conservatoire National des Arts et Métiers,['cnam.fr'],['http://www.cnam.fr/'],France,FR,
Centre National d'Etudes Agronomiques des Régions Chaudes,['cnearc.fr'],['http://www.cnearc.fr/'],France,FR,
Ecole Supérieure de Chimie Physique Electronique de Lyon,['cpe.fr'],['http://www.cpe.fr/'],France,FR,
Université Bordeaux I,['cribx1.u-bordeaux.fr'],['http://www.cribx1.u-bordeaux.fr/'],France,FR,
Institut des Sciences de l'Ingénieur de Clermont-Ferrand,['cust.univ-bpclermont.fr'],['http://cust.univ-bpclermont.fr/'],France,FR,
Université Paris-Dauphine (Paris IX),['dauphine.fr'],['http://www.dauphine.fr/'],France,FR,
Ecole Superieur d'Ingenieurs Leonard de Vinci,['devinci.fr'],['http://www.devinci.fr/'],France,FR,
Ecole d'Ingénieurs en Informatique pour l'Industrie,['e3i.univ-tours.fr'],['http://www.e3i.univ-tours.fr/'],France,FR,
Ecole Européen des Affaires,['eap.fr'],['http://www.eap.fr/'],France,FR,
